AI, é áj
MI, emi
PDA, pédéa
GPS, dzipiesz
chips, csipsz
Kyle, kájl
Stan, sten
Chartmen, kártmen
Keny, keni
dr, doktor
dr., doktor
mr, miszter
mr., miszter
riose, riosz
DNS, déenes
Hari, henri
gaal, geel
USS, júeszesz
Cerritos, Kerritosz
Sylvia, Szilvia
FNN, efenen
Planet, plenet
Backett, Beket
Gate, gét
Alonso, Alonzó
Carol, Kerol
Bradward, bredvörd
geneieve, dzsenív
boimler, bojler
one, egy
two, kettő
gpu, gépéú
openai, openéáj
deepseek, dípszík
deepsek, dípszík
v3, vé három
LLM, elelem
r1, er egy
like, lájk
likeot, lájkot
Anthropic, antropik
Aaron, Érón
Abigail, Ábigél
Abner, Ábnör
Adam, Adám
Adrian, Édrien
Aiden, Áiden
Alan, Elen
Albert, Álbört
Alex, Elex
Alexa, Álekszá
Alexander, Álekszándör
Alice, Álisz
Alicia, Álísá
Allan, Állen
Amanda, Ámandá
Amber, Émbör
Amelia, Ámelíá
Amy, Émi
Andrew, Endrú
Angela, Ándzsela
Angie, Endzsí
Ann, Enn
Anna, Áná
Anthony, Entoni
Ariana, Aríaná
Arthur, Ártúr
Ashley, Éslí
Ava, Évá
Barbara, Bárbárá
Beatrice, Beátrícse
Benedict, Benedíkt
Benjamin, Bendzsámín
Bernard, Börnárd
Beth, Bessz
Bethany, Betaní
Beverly, Beverli
Blake, Bléke
Brandon, Brándón
Brenda, Brendá
Brian, Brájen
Brittany, Británi
Brooke, Brók
Bruce, Brúsz
Caleb, Káleb
Cameron, Kámerón
Carla, Kárlá
Carmen, Kármen
Carol, Káról
Caroline, Kerólájn
Catherine, Ketrín
Cecilia, Szeszíliá
Cedric, Kedrík
Celeste, Cseleszt
Charles, Csárlsz
Charlotte, Sárlott
Chloe, Kloí
Chris, Krisz
Christian, Kriszcsön
Christina, Krisztiná
Christopher, Krisztofer
Cindy, Szindi
Clara, Klará
Clarence, Klerensz
Clark, Klerk
Claude, Klóud
Clifford, Kliford
Clinton, Klintón
Cody, Kodi
Colin, Kolin
Connor, Konór
Courtney, Körtni
Craig, Krég
Cynthia, Szintia
Daisy, Déizi
Dakota, Dékóda
Damian, Damján
Daniel, Déniel
Danielle, Déniell
Daphne, Dáfni
Darlene, Dárlén
Dave, Dév
David, Dévid
Deborah, Deborá
Dennis, Denisz
Derek, Derek
Derrick, Derríkk
Diana, Dájáná
Diane, Dáján
Dickinson, Dikinszon
Dominic, Dominik
Donald, Dónáld
Donna, Donná
Doris, Dorisz
Dorothy, Doroti
Douglas, Döglesz
Dylan, Dilen
Edward, Eduárd
Elaine, Elén
Eleanor, Elénór
Elise, Elíssz
Elizabeth, Elizabet
Ella, Ellá
Ellen, Ellen
Emerson, Emörszön
Emily, Emili
Emma, Emmá
Eric, Erik
Erica, Eríka
Erik, Erik
Ernest, Erneszt
Ethan, Íthön
Eugene, Judzsin
Eva, Évá
Evelyn, Evelin
Faith, Féitf
Felix, Féliksz
Fiona, Fíoná
Florence, Florensz
Francis, Frencisz
Frank, Frenk
Gabriel, Gébriel
Gail, Gél
Gary, Geri
George, Dzsordzs
Georgia, Dzsordzsa
Gerald, Zseráld
Gertrude, Gertrúd
Gideon, Tédiön
Gina, Dzsina
Giselle, Zsizell
Gloria, Glóríá
Grace, Gréisz
Gregory, Gregóri
Gwen, Gwen
Hannah, Háná
Harold, Heróld
Harper, Hárpör
Harry, Herri
Hartfield, Hártfild
Heather, Hedör
Hector, Hektór
Helen, Helen
Henry, Henri
Herbert, Hörbört
Hilary, Hilári
Howard, Háuörd
Hugo, Hjúó
Ian, Ájen
Ignatius, Ignésüssz
Irene, Ájrin
Isaac, Ájzák
Isabel, Izábell
Ivy, Ájví
Jack, Dzsek
Jacob, Dzsékob
Jacqueline, Zsáklín
James, Dzsémsz
Jamie, Dzsémi
Jane, Dzsén
Janet, Dzsenet
Janice, Dzsánisz
Jasmine, Dzsázmín
Jason, Dzsézon
Jasper, Dzsászpör
Jean, Dzsén
Jeanne, Dzsén
Jeffrey, Dzsefrí
Jenna, Dzsená
Jennifer, Dzsenífer
Jeremy, Dzseremi
Jessica, Dzsessziká
Joan, Dzsoen
Joanne, Dzsóenn
Jocelyn, Dzsászlín
Joe, Dzsó
Joel, Dzsóel
John, Dzsón
Jonathan, Dzsoneten
Jordan, Dzsórden
Joseph, Dzsozef
Josephine, Dzsozefin
Joshua, Dzsósúá
Joyce, Dzsóisz
Juan, Dzsúán
Judith, Dzsuditf
Judy, Dzsudi
Julia, Dzsúliá
Julian, Dzsulien
Julie, Dzsulí
Justin, Dzsásztin
Karen, Káren
Karl, Kárl
Kate, Kéte
Katherine, Ketrín
Kathleen, Ketlín
Kathryn, Kátrín
Kathy, Kátí
Katie, Kétí
Keegan, Kígön
Keith, Kíth
Kelsey, Kelszí
Kelly, Kelli
Kenneth, Kenet
Kevin, Kevín
Kiera, Kírrá
Kimberly, Kimbörli
Kirk, Körk
Kristen, Kriszten
Kristin, Krisztin
Kyle, Kájl
Laura, Láurá
Lauren, Lorön
Lawrence, Lorönsz
Leah, Liá
Leland, Lílönd
Leo, Lijó
Leon, Lijan
Leonard, Lenőrd
Leslie, Lezlí
Lillian, Lilenn
Lily, Líli
Linda, Lindá
Lindsay, Lindzí
Lisa, Lizá
Logan, Lógen
Lorelei, Loröláj
Louis, Lúíz
Lucas, Lukás
Lucy, Luszi
Lydia, Lidiá
Lynn, Linn
Madeline, Medlén
Madison, Mediszón
Malcolm, Melkóm
Margaret, Márgöret
Maria, Máríá
Marie, Mérí
Marilyn, Mrilín
Mark, Mark
Martha, Mártá
Martin, Mártin
Marvin, Márvín
Mary, Méri
Mason, Mészön
Matthew, Metyú
Megan, Megen
Melanie, Melaní
Melissa, Melíszá
Michael, Málkel
Michelle, Misell
Mildred, Míldred
Miles, Májelsz
Mira, Mirá
Miriam, Míríem
Molly, Molli
Monica, Móniká
Morgan, Mórgen
Nadine, Nádín
Nancy, Nenszi
Natalie, Nátáli
Nathan, Néthön
Neill, Níl
Neville, Nevöll
Nicholas, Niklösz
Nicole, Nikoll
Noah, Nóá
Norman, Nórmen
O’Brian, Óbrájen
Olivia, Ólíviá
